subject,idna_subject,expiration_date,epoch
0d847862199.com,0d847862199.com,11-may-2021,1620691200.0
11x11.com,11x11.com,03-may-2021,1620000000.0
123metrics.com,123metrics.com,16-jun-2021,1623801600.0
1bcde.com,1bcde.com,06-aug-2021,1628208000.0
1e122c580cf.com,1e122c580cf.com,25-jun-2021,1624579200.0
1gbits.com,1gbits.com,12-sep-2029,1883865600.0
1phads.com,1phads.com,12-feb-2021,1613088000.0
206ads.com,206ads.com,07-may-2021,1620345600.0
2znp09oa.com,2znp09oa.com,24-feb-2021,1614124800.0
360yield.com,360yield.com,02-jun-2021,1622592000.0
45eijvhgj2.com,45eijvhgj2.com,19-jul-2021,1626652800.0
49oa3o49b6.com,49oa3o49b6.com,11-jul-2021,1625961600.0
4jnzhl0d0.com,4jnzhl0d0.com,24-feb-2021,1614124800.0
6ldu6qa.com,6ldu6qa.com,24-feb-2021,1614124800.0
7eer.net,7eer.net,28-jan-2021,1611792000.0
82o9v830.com,82o9v830.com,24-feb-2021,1614124800.0
9dot9.in,9dot9.in,13-aug-2022,1660348800.0
a-ads.com,a-ads.com,07-jul-2021,1625616000.0
a-msedge.net,a-msedge.net,06-mar-2021,1614988800.0
a1dev.com,a1dev.com,13-jun-2026,1781308800.0
a1stats.com,a1stats.com,30-jan-2021,1611964800.0
a63t9o1azf.com,a63t9o1azf.com,08-jun-2021,1623110400.0
a8.net,a8.net,24-sep-2021,1632441600.0
aanqylta.com,aanqylta.com,25-jan-2021,1611532800.0
aarth.com,aarth.com,29-jul-2021,1627516800.0
aatkit.com,aatkit.com,12-apr-2021,1618185600.0
abnormour.club,abnormour.club,14-mar-2021,1615680000.0
abrts.pro,abrts.pro,02-feb-2021,1612224000.0
abruptroad.com,abruptroad.com,21-mar-2021,1616284800.0
accengage.com,accengage.com,07-mar-2022,1646611200.0
acertb.com,acertb.com,01-apr-2021,1617235200.0
actuallysheep.com,actuallysheep.com,21-mar-2021,1616284800.0
ad-delivery.net,ad-delivery.net,03-may-2021,1620000000.0
ad4game.com,ad4game.com,12-may-2021,1620777600.0
adara.com,adara.com,31-jan-2021,1612051200.0
adbrau.com,adbrau.com,22-apr-2021,1619049600.0
adcanopus.com,adcanopus.com,01-jul-2024,1719792000.0
addapptr.com,addapptr.com,14-sep-2021,1631577600.0
adexchangecloud.com,adexchangecloud.com,27-apr-2021,1619481600.0
adexchangedirect.com,adexchangedirect.com,27-apr-2021,1619481600.0
adexchangetracker.com,adexchangetracker.com,27-apr-2021,1619481600.0
adhigh.net,adhigh.net,15-oct-2025,1760486400.0
adiode.com,adiode.com,08-jun-2021,1623110400.0
adleadevent.com,adleadevent.com,20-sep-2021,1632096000.0
adlooxtracking.com,adlooxtracking.com,18-aug-2021,1629244800.0
admost.com,admost.com,19-jul-2022,1658188800.0
adnexus.net,adnexus.net,04-may-2022,1651622400.0
adnxs.com,adnxs.com,27-may-2022,1653609600.0
adollo.com,adollo.com,08-jun-2021,1623110400.0
adopexchange.com,adopexchange.com,16-jan-2021,1610755200.0
adoric-om.com,adoric-om.com,30-may-2027,1811635200.0
adreactor.com,adreactor.com,12-aug-2021,1628726400.0
adrta.com,adrta.com,22-jun-2023,1687392000.0
adrunnr.com,adrunnr.com,02-mar-2021,1614643200.0
ads2dc.com,ads2dc.com,31-jan-2021,1612051200.0
adsafeprotected.com,adsafeprotected.com,01-apr-2023,1680307200.0
adsbing.com,adsbing.com,10-jul-2021,1625875200.0
adsco.re,adsco.re,14-feb-2027,1802563200.0
adsession.com,adsession.com,09-may-2021,1620518400.0
adsflame.com,adsflame.com,07-feb-2021,1612656000.0
adskeeper.co.uk,adskeeper.co.uk,16-may-2021,1621123200.0
adspeed.net,adspeed.net,17-apr-2027,1807920000.0
adstacks.in,adstacks.in,16-oct-2021,1634342400.0
adswizz.com,adswizz.com,19-nov-2028,1858204800.0
adszx.pro,adszx.pro,05-may-2021,1620172800.0
adtekmedia.com,adtekmedia.com,09-apr-2021,1617926400.0
adtelligent.com,adtelligent.com,02-feb-2022,1643760000.0
adtiming.com,adtiming.com,08-jul-2024,1720396800.0
adultsense.net,adultsense.net,30-jun-2021,1625011200.0
adviva.net,adviva.net,15-aug-2021,1628985600.0
adx1.com,adx1.com,13-sep-2021,1631491200.0
adxnexus.com,adxnexus.com,10-apr-2021,1618012800.0
adxxx.com,adxxx.com,23-aug-2021,1629676800.0
adzfun.info,adzfun.info,29-jun-2021,1624924800.0
adzincome.in,adzincome.in,23-aug-2021,1629676800.0
adzsx.pro,adzsx.pro,05-may-2021,1620172800.0
adztracking.com,adztracking.com,18-apr-2021,1618704000.0
af201768865.com,af201768865.com,21-jan-2021,1611187200.0
afclickoffers.com,afclickoffers.com,03-sep-2021,1630627200.0
afcpatrk.com,afcpatrk.com,18-jan-2021,1610928000.0
affx2go.com,affx2go.com,08-mar-2021,1615161600.0
agafurretor.com,agafurretor.com,25-mar-2021,1616630400.0
agentanalytics.com,agentanalytics.com,23-jun-2021,1624406400.0
agreeableprice.com,agreeableprice.com,07-jun-2021,1623024000.0
aheadday.com,aheadday.com,03-apr-2021,1617408000.0
ajkzd9h.com,ajkzd9h.com,09-mar-2021,1615248000.0
albacross.com,albacross.com,03-feb-2021,1612310400.0
allaboutsearching.com,allaboutsearching.com,24-aug-2021,1629763200.0
allday.in.ua,allday.in.ua,18-jul-2021,1626566400.0
alliance4media.com,alliance4media.com,04-apr-2021,1617494400.0
amazon-adsystem.com,amazon-adsystem.com,16-sep-2024,1726444800.0
ambitiousagreement.com,ambitiousagreement.com,03-apr-2021,1617408000.0
amplitude.com,amplitude.com,10-jan-2022,1641772800.0
analyticsindiamag.com,analyticsindiamag.com,20-may-2022,1653004800.0
